episode:256; total step:220; total_reword:95.444 loss:0.00855; actual_eps:0.88; ave_Q:37.80830001831055
episode:257; total step:220; total_reword:131.835 loss:0.00922; actual_eps:0.88; ave_Q:47.14278793334961
episode:258; total step:220; total_reword:137.298 loss:0.00857; actual_eps:0.88; ave_Q:44.69430923461914
episode:259; total step:220; total_reword:142.824 loss:0.00902; actual_eps:0.88; ave_Q:47.817020416259766
episode:260; total step:220; total_reword:118.072 loss:0.00922; actual_eps:0.88; ave_Q:39.718360900878906
episode:261; total step:220; total_reword:110.555 loss:0.00820; actual_eps:0.88; ave_Q:43.434349060058594
episode:262; total step:220; total_reword:139.189 loss:0.00826; actual_eps:0.88; ave_Q:41.51011657714844
episode:263; total step:220; total_reword:113.654 loss:0.00850; actual_eps:0.88; ave_Q:39.580841064453125
episode:264; total step:220; total_reword:103.561 loss:0.00891; actual_eps:0.88; ave_Q:36.46766662597656
episode:265; total step:220; total_reword:118.041 loss:0.00898; actual_eps:0.88; ave_Q:36.422367095947266
episode:266; total step:220; total_reword:119.731 loss:0.00785; actual_eps:0.88; ave_Q:41.8039436340332
episode:267; total step:220; total_reword:39.891 loss:0.00894; actual_eps:0.87; ave_Q:22.904333114624023
episode:268; total step:220; total_reword:103.728 loss:0.00802; actual_eps:0.87; ave_Q:35.1392936706543
episode:269; total step:220; total_reword:112.554 loss:0.00872; actual_eps:0.87; ave_Q:41.36320114135742
episode:270; total step:220; total_reword:113.661 loss:0.00927; actual_eps:0.87; ave_Q:42.19823455810547
episode:271; total step:220; total_reword:120.829 loss:0.00847; actual_eps:0.87; ave_Q:43.9337272644043
episode:272; total step:220; total_reword:134.189 loss:0.00781; actual_eps:0.87; ave_Q:45.48911666870117
episode:273; total step:220; total_reword:119.218 loss:0.00848; actual_eps:0.87; ave_Q:43.000850677490234
episode:274; total step:220; total_reword:108.221 loss:0.00773; actual_eps:0.87; ave_Q:38.918235778808594
